period_um,A_um,t_oxide_um,oxide_dispersion,theta_deg,phi_sim_deg,harmonics,slices,beta_deg,A2_um,phi2_rad,lambda_min_um,lambda_max_um,n_lambda,sample,theta_exp_deg,phi_exp_deg,exp_files,n_overlap,R_N,R_chi2_red,R_RMSE,R_MAE,R_max_abs,R_pearson_r,R_mean_sigma,Rdet_N,Rdet_chi2_red,Rdet_RMSE,Rdet_MAE,Rdet_max_abs,Rdet_pearson_r,Rdet_mean_sigma,runtime_s,sim_csv
12.9,1.5,0.9,HS_caliente,30.0,89.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,30.0,0.0,12-3_30_0_1.CSV;12-3_30_0_2.CSV;12-3_30_0_3.CSV,88,88,693.0515914670091,0.2632587304282631,0.21253374432633507,0.5196249596128737,0.8260527322471167,0.009999999999999998,88,104.18380492824593,0.10207046826984088,0.09509844524541139,0.16253662822159454,0.982601955113118,0.009999999999999998,600.1774740219116,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th30_phi89_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th30_phi89_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,30.0,67.5,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,30.0,22.5,12-3_30_22-5_1.CSV;12-3_30_22-5_2.CSV;12-3_30_22-5_3.CSV,88,88,641.278657875828,0.2571293745236722,0.20889584345170123,0.526236367195394,0.8713755655123462,0.010537211607846708,88,82.95977987932196,0.09313416568665422,0.08388688048457475,0.20929471834755198,0.96513921011005,0.010537211607846708,599.5822563171387,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th30_phi67.5_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th30_phi67.5_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,30.0,45.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,30.0,45.0,12-3_30_45_1.CSV;12-3_30_45_2.CSV;12-3_30_45_3.CSV,88,88,716.6817663560795,0.26836728160917356,0.22980749282519985,0.5452879379674684,0.8862685891494486,0.010095297507768511,88,75.49123658637062,0.08889288419961733,0.08129556056530088,0.1817243704905228,0.9651684193300777,0.010095297507768511,602.972030878067,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th30_phi45_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th30_phi45_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,30.0,22.5,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,30.0,67.5,12-3_30_67-5_1.CSV;12-3_30_67-5_2.CSV;12-3_30_67-5_3.CSV,88,88,765.7881741364462,0.27672877951822183,0.24461728143102482,0.5457025872824481,0.8838642924649123,0.009999999999999998,88,88.5209626450272,0.09408557947157853,0.07898763263213547,0.3102800944287584,0.9525095596269368,0.009999999999999998,599.5053107738495,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th30_phi22.5_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th30_phi22.5_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,30.0,1.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,30.0,90.0,12-3_30_90_1.CSV;12-3_30_90_2.CSV;12-3_30_90_3.CSV,88,88,755.7072154892923,0.2749012941928961,0.24428398846422136,0.5602321941086829,0.8809134970523118,0.009999999999999998,88,86.65803493694078,0.09309029752715413,0.08098598551523407,0.26894838153739886,0.9473548372402634,0.009999999999999998,685.5596659183502,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th30_phi1_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th30_phi1_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,45.0,89.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,45.0,0.0,12-3_45_0_1.CSV;12-3_45_0_2.CSV;12-3_45_0_3.CSV,88,88,644.9811329277671,0.2539647875056239,0.2307478710339725,0.4650254284220424,0.847382385192347,0.009999999999999998,88,262.7385284357511,0.16209211221887115,0.13881264691296774,0.23341865912603588,0.9859902120342782,0.009999999999999998,688.8653450012207,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th45_phi89_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th45_phi89_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,45.0,67.5,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,45.0,22.5,12-3_45_22-5_1.CSV;12-3_45_22-5_2.CSV;12-3_45_22-5_3.CSV,88,88,690.4418085078916,0.26398520145729865,0.24562593473684027,0.4945408836180221,0.8721580756465167,0.010256198675729942,88,231.90999329286507,0.1536638733227422,0.12315838490695605,0.30472512346697506,0.9642072598289981,0.010256198675729942,690.8635230064392,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th45_phi67.5_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th45_phi67.5_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,45.0,45.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,45.0,45.0,12-3_45_45_1.CSV;12-3_45_45_2.CSV;12-3_45_45_3.CSV,88,88,787.4294889028165,0.2905682444593938,0.27690917495639716,0.5468330501832117,0.8845415983221883,0.011522334566896232,88,138.5411236666114,0.1330457295611758,0.0995257639705439,0.2965148672368345,0.9508595253450205,0.011522334566896232,687.7246279716492,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th45_phi45_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th45_phi45_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,45.0,22.5,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,45.0,67.5,12-3_45_67-5_1.CSV;12-3_45_67-5_2.CSV;12-3_45_67-5_3.CSV,88,88,1003.332210500803,0.316754196578483,0.3068392039996189,0.56826196027192,0.8883990695117134,0.009999999999999998,88,142.01467280435946,0.11916990929104523,0.08410897640353045,0.3283650076707897,0.9354348927181463,0.009999999999999998,627.2787630558014,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th45_phi22.5_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th45_phi22.5_NA39_b2.0_A20.3_phi21.571.csv
12.9,1.5,0.9,HS_caliente,45.0,1.0,39,50,2.0,0.3,1.5707963267948966,3.0,24.75,88,12-3,45.0,90.0,12-3_45_90_1.CSV;12-3_45_90_2.CSV;12-3_45_90_3.CSV,88,88,1036.6056074174646,0.33479102377420317,0.3262851536095273,0.5699965018307614,0.8813878596563182,0.010884790463942274,88,96.21126853410698,0.11960397154099921,0.08632119872921669,0.3407920350428234,0.9288738410720206,0.010884790463942274,625.5867419242859,sweep/runs/validate_thetaphi/traces/P12.900_A1.500_tox0.900_HS_caliente_th45_phi1_NA39_b2.0_A20.3_phi21.571/AVG_P12.900_A1.500_tox0.900_HS_caliente_th45_phi1_NA39_b2.0_A20.3_phi21.571.csv
